user_id,acquisition_channel,variant,first_purchase_date,delivery_date,ugc_email_sent_date,ugc_email_opened,ugc_email_clicked,category,region,first_order_value,returned_within_14d,repeat_purchase_within_30d,time_to_next_purchase_days,repeat_order_value,discount_used_on_repeat
1,paid,control,2025-11-16,2025-11-19,,0,0,footwear,NE,112.12,0,0,,,0
2,paid,treatment,2025-11-11,2025-11-17,2025-11-24,0,0,beauty,South,22.41,0,0,,,0
3,paid,treatment,2025-10-07,2025-10-10,2025-10-17,1,1,apparel,West,98.76,0,0,,,0
4,paid,control,2025-10-11,2025-10-14,,0,0,electronics,NE,100.51,0,0,,,0
5,paid,control,2025-11-24,2025-11-26,,0,0,footwear,NE,110.19,1,0,,,0
6,paid,treatment,2025-11-22,2025-11-25,2025-12-01,0,0,footwear,NE,114.47,0,0,,,0
7,paid,control,2025-11-21,2025-11-26,,0,0,home,NE,94.25,0,0,,,0
8,paid,treatment,2025-10-15,2025-10-19,2025-10-25,0,0,electronics,Midwest,116.86,1,0,,,0
9,paid,control,2025-11-16,2025-11-21,,0,0,apparel,South,33.55,0,0,,,0
10,paid,control,2025-10-06,2025-10-08,,0,0,footwear,Midwest,31.46,0,0,,,0
11,paid,treatment,2025-10-14,2025-10-18,2025-10-25,1,1,electronics,West,105.41,1,0,,,0
12,paid,treatment,2025-11-15,2025-11-17,2025-11-24,1,0,beauty,Midwest,67.45,0,1,8.0,50.26,0
13,paid,treatment,2025-11-26,2025-11-28,2025-12-05,0,0,apparel,South,66.63,1,0,,,0
14,paid,treatment,2025-11-30,2025-12-04,2025-12-09,0,0,electronics,NE,194.66,0,0,,,0
15,paid,treatment,2025-12-30,2026-01-03,2026-01-08,0,0,beauty,NE,27.43,0,0,,,0
16,paid,treatment,2025-12-18,2025-12-22,2025-12-29,1,1,footwear,NE,125.67,0,0,,,0
17,paid,treatment,2025-11-04,2025-11-08,2025-11-15,0,0,electronics,South,157.11,0,0,,,0
18,paid,control,2025-12-12,2025-12-17,,0,0,electronics,South,127.17,0,0,,,0
19,paid,treatment,2025-10-09,2025-10-14,2025-10-19,0,0,beauty,South,56.08,1,0,,,0
20,paid,control,2025-12-18,2025-12-20,,0,0,electronics,Midwest,88.71,0,0,,,0
21,paid,treatment,2025-11-05,2025-11-10,2025-11-17,0,0,electronics,South,145.46,0,0,,,0
22,paid,control,2025-12-09,2025-12-15,,0,0,beauty,West,29.32,0,0,,,0
23,paid,control,2025-12-29,2026-01-01,,0,0,apparel,NE,51.57,0,0,,,0
24,paid,treatment,2025-12-04,2025-12-05,2025-12-11,0,0,electronics,NE,69.53,0,0,,,0
25,paid,treatment,2025-12-24,2025-12-26,2026-01-02,0,0,apparel,Midwest,45.34,0,0,,,0
26,paid,treatment,2025-10-01,2025-10-04,2025-10-09,0,0,apparel,West,26.79,0,0,,,0
